cdrh3_length_mid,mean_n_mut_H,std_n_mut_H,n
7.0,15.260637872691907,8.320455613965676,75062
9.0,16.69941188197767,8.721285057332226,180576
11.0,16.60327390364748,9.13906856715879,303552
13.0,16.84838086159875,9.110579765367538,377670
15.0,17.094466598276885,9.46330688523441,259298
17.0,18.220808974561542,10.154550898884095,164554
19.0,18.221384425216318,9.97308677832816,80900
21.0,19.214107165747983,10.353195028088225,31204
23.0,13.83253070069829,9.882571931046579,24918
25.0,17.287010777084515,10.17152310764891,3526
27.0,22.264653641207815,11.330930852060396,563
29.0,22.50561797752809,11.836074732255707,178
